COURSE_SK,TRACK_SK
2,38
16,3
11,114
35,73
91,60
10,88
17,2
26,16
20,16
33,12
33,46
33,47
58,47
65,75
43,48
60,48
88,48
27,16
36,107
50,32
55,11
75,75
87,75
87,81
63,52
68,22
24,75
35,11
9,72
10,31
12,12
24,11
26,26
26,41
46,12
46,82
22,16
78,75
56,107
30,20
20,26
26,85
85,20
40,11
76,69
83,82
92,48
14,38
36,75
97,69
113,113
40,48
62,16
63,113
108,52
100,69
115,22
1,16
1,85
5,26
7,114
9,16
12,46
50,46
77,75
90,75
55,75
6,2
22,61
9,107
34,16
35,75
50,56
53,16
74,113
86,75
88,44
93,70
37,21
49,22
51,81
89,107
31,1
73,93
6,23
10,21
21,26
38,58
15,114
21,34
80,93
36,16
112,113
6,3
68,86
45,16
52,46
65,107
81,48
18,26
79,75
114,113
52,82
78,81
1,26
2,3
3,16
5,16
5,34
41,31
17,3
21,85
86,107
29,88
12,82
24,44
39,105
72,11
73,73
10,18
13,3
20,85
41,87
25,31
47,75
60,11
49,84
95,60
35,16
44,16
51,75
57,16
64,75
75,60
2,2
3,85
8,1
17,46
29,18
9,11
23,16
23,41
29,16
44,105
15,14
17,94
46,46
116,105
11,14
18,16
21,16
34,13
43,12
53,89
74,75
106,72
107,72
30,75
54,47
95,69
2,49
3,26
14,33
15,13
18,105
19,114
24,73
28,12
61,86
67,58
71,75
42,16
11,28
44,26
98,81
9,75
19,3
30,84
34,17
47,36
56,75
85,75
41,11
28,46
41,12
53,18
42,105
94,81
28,82
4,23
5,85
9,73
18,85
22,31
32,12
39,26
25,16
25,61
32,11
37,31
39,16
49,18
55,44
49,87
59,12
60,70
82,44
106,77
62,9
81,44
17,49
32,46
52,12
92,93
